timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
3.0800,0.0004,0.0000,0.0000,-0.0899,0.8242,-0.3757,0.4141,0.0183,-0.0020,0.0006,0.9147,-0.0991,0.0311,0.0432,-0.0652,-0.0680,-0.0025,3
3.1000,0.0004,0.0000,0.0000,-0.0899,0.8242,-0.3757,0.4141,0.0000,0.0000,0.0000,-0.9147,0.0991,-0.0311,0.0000,0.0000,0.0000,0.0000,3
3.1200,0.0010,-0.0008,0.0005,-0.0891,0.8217,-0.3790,0.4162,0.0293,-0.0360,0.0258,1.4628,-1.8011,1.2922,-0.3167,-0.3369,-0.1015,-0.2123,3
3.1400,0.0010,-0.0009,0.0006,-0.0890,0.8214,-0.3796,0.4162,0.0031,-0.0090,0.0035,-1.3066,1.3493,-1.1167,-0.0504,-0.0199,-0.0253,-0.1088,3
3.1600,0.0011,-0.0012,0.0002,-0.0887,0.8219,-0.3802,0.4149,0.0029,-0.0112,-0.0188,-0.0122,-0.1086,-1.1152,-0.0317,0.1047,-0.1090,-0.0878,3
3.1800,0.0012,-0.0014,0.0001,-0.0884,0.8216,-0.3812,0.4146,0.0050,-0.0107,-0.0077,0.1045,0.0252,0.5551,-0.0786,-0.0092,-0.0668,-0.1090,3
3.2000,0.0008,-0.0017,-0.0010,-0.0881,0.8232,-0.3804,0.4121,-0.0191,-0.0184,-0.0534,-1.2056,-0.3843,-2.2870,0.1143,0.2642,-0.1005,-0.0281,3
3.2200,0.0007,-0.0018,-0.0011,-0.0885,0.8233,-0.3803,0.4119,-0.0032,-0.0010,-0.0062,0.7955,0.8692,2.3620,-0.0066,0.0268,0.0207,-0.0280,3
3.2400,0.0006,-0.0018,-0.0011,-0.0887,0.8230,-0.3806,0.4121,-0.0045,-0.0035,0.0030,-0.0625,-0.1225,0.4607,-0.0281,-0.0184,0.0079,-0.0318,3
3.2600,0.0005,-0.0025,-0.0012,-0.0872,0.8231,-0.3816,0.4116,-0.0050,-0.0330,-0.0062,-0.0237,-1.4788,-0.4593,-0.0211,-0.0187,-0.1805,-0.2723,3
3.2800,0.0005,-0.0027,-0.0013,-0.0871,0.8234,-0.3817,0.4108,-0.0032,-0.0097,-0.0064,0.0865,1.1686,-0.0133,-0.0042,0.0701,-0.0471,-0.1063,3
3.3000,0.0005,-0.0027,-0.0014,-0.0871,0.8235,-0.3815,0.4108,-0.0009,0.0003,-0.0038,0.1148,0.4973,0.1298,0.0000,0.0000,0.0000,0.0023,3
3.3200,0.0005,-0.0027,-0.0014,-0.0870,0.8235,-0.3815,0.4109,0.0003,-0.0019,-0.0010,0.0628,-0.1106,0.1441,0.0000,0.0000,0.0000,-0.0188,3
3.3400,0.0005,-0.0027,-0.0016,-0.0873,0.8236,-0.3814,0.4107,0.0034,-0.0011,-0.0078,0.1560,0.0419,-0.3405,-0.0086,0.0396,0.0272,-0.0076,3
3.3600,0.0006,-0.0027,-0.0017,-0.0876,0.8237,-0.3812,0.4105,0.0020,0.0019,-0.0089,-0.0719,0.1511,-0.0589,0.0098,0.0407,0.0251,0.0196,3
3.3800,0.0006,-0.0026,-0.0019,-0.0879,0.8240,-0.3807,0.4103,0.0006,0.0047,-0.0102,-0.0693,0.1369,-0.0635,0.0353,0.0370,0.0310,0.0471,3
3.4000,0.0006,-0.0026,-0.0023,-0.0883,0.8245,-0.3802,0.4096,0.0001,0.0020,-0.0186,-0.0242,-0.1323,-0.4210,0.0327,0.0840,0.0149,0.0274,3
3.4200,0.0006,-0.0027,-0.0025,-0.0883,0.8248,-0.3805,0.4089,-0.0008,-0.0065,-0.0099,-0.0448,-0.4266,0.4354,-0.0179,0.0578,-0.0333,-0.0654,3
3.4400,0.0005,-0.0028,-0.0028,-0.0886,0.8251,-0.3806,0.4080,-0.0032,-0.0028,-0.0146,-0.1241,0.1861,-0.2363,-0.0177,0.1011,-0.0138,-0.0240,3
3.4600,0.0005,-0.0025,-0.0031,-0.0894,0.8254,-0.3800,0.4078,-0.0005,0.0125,-0.0121,0.1375,0.7658,0.1267,0.0234,0.0541,0.0778,0.1309,3
3.4800,0.0005,-0.0022,-0.0033,-0.0904,0.8254,-0.3796,0.4079,-0.0002,0.0140,-0.0105,0.0128,0.0739,0.0785,-0.0014,0.0342,0.0978,0.1376,3
3.5000,0.0002,-0.0016,-0.0045,-0.0924,0.8273,-0.3780,0.4052,-0.0144,0.0334,-0.0603,-0.7077,0.9681,-2.4879,0.0973,0.3954,0.1086,0.5199,3
3.5200,0.0001,-0.0010,-0.0058,-0.0946,0.8290,-0.3772,0.4019,-0.0073,0.0304,-0.0642,0.3541,-0.1496,-0.1954,0.0085,0.4302,0.0745,0.3034,3
3.5400,0.0002,-0.0004,-0.0059,-0.0963,0.8287,-0.3766,0.4027,0.0052,0.0276,-0.0096,0.6267,-0.1374,2.7311,-0.0228,-0.0103,0.1998,0.2444,3
3.5600,0.0003,0.0001,-0.0061,-0.0981,0.8282,-0.3763,0.4035,0.0064,0.0258,-0.0073,0.0576,-0.0896,0.1162,-0.0548,-0.0141,0.1963,0.2507,3
3.5800,0.0005,0.0008,-0.0065,-0.0987,0.8288,-0.3751,0.4033,0.0103,0.0338,-0.0189,0.1950,0.3986,-0.5819,0.0917,0.0699,0.0836,0.3582,3
3.6000,0.0010,0.0018,-0.0074,-0.0993,0.8303,-0.3737,0.4013,0.0242,0.0517,-0.0447,0.6975,0.8926,-1.2925,0.1221,0.2590,0.0170,0.6277,3
3.6200,0.0016,0.0030,-0.0082,-0.1006,0.8315,-0.3722,0.3999,0.0317,0.0606,-0.0439,0.3737,0.4485,0.0437,0.1104,0.2312,0.0971,0.6319,3
3.6400,0.0020,0.0042,-0.0087,-0.1033,0.8313,-0.3720,0.3999,0.0198,0.0572,-0.0211,-0.5972,-0.1729,1.1376,-0.1030,0.0916,0.2318,0.5152,3
3.6600,0.0034,0.0082,-0.0096,-0.1109,0.8301,-0.3684,0.4036,0.0719,0.2015,-0.0458,2.6077,7.2186,-1.2344,-0.0053,-0.0326,0.9304,3.6761,3
